Seed	Iterations	Most_Frequent	Frequency
1428	57	4100	2
1429	54	6100	2
1430	45	6100	2
1431	58	0000	1
1432	56	4100	2
1433	42	9600	2
1434	37	6100	2
1435	30	9600	2
1436	81	6100	2
1437	69	4100	2
1438	68	4100	2
1439	8	1600	2
1440	44	6100	2
1441	17	6100	2
1442	96	6100	2
1443	41	9600	2
1444	51	4100	2
1445	84	6100	2
1446	55	6100	2
1447	86	4100	2
1448	19	8100	2
1449	86	4100	2
1450	57	4100	2
1451	101	4100	2
1452	89	4100	2
1453	66	4100	2
1454	91	4100	2
1455	55	0000	1
1456	52	6100	2
1457	64	4100	2
1458	7	9600	2
1459	25	0001	1
1460	52	6100	2
1461	99	6100	2
1462	79	6100	2
1463	67	6100	2
1464	57	4100	2
1465	80	6100	2
1466	30	4100	2
1467	70	4100	2
1468	8	0005	1
1469	44	4100	2
1470	9	9600	2
1471	14	9600	2
1472	68	4100	2
1473	86	4100	2
1474	10	4100	2
1475	56	0000	1
1476	29	0000	1
1477	36	6100	2
1478	7	0000	1
1479	75	6100	2
1480	35	4100	2
1481	31	4100	2
1482	45	6100	2
1483	58	9600	2
1484	10	4100	2
1485	31	0000	1
1486	72	6100	2
1487	51	6100	2
1488	43	9600	2
1489	69	6100	2
1490	18	2100	2
1491	29	4100	2
1492	30	0005	1
1493	49	6100	2
1494	62	6100	2
1495	27	9600	2
1496	11	2916	2
1497	23	4100	2
1498	77	6100	2
1499	11	0000	1
1500	1	2500	2
1501	13	0000	1
1502	55	4100	2
1503	35	6100	2
1504	69	4100	2
1505	58	4100	2
1506	19	4100	2
1507	60	6100	2
1508	72	6100	2
1509	22	4100	2
1510	22	0000	1
1511	17	0001	1
1512	42	9600	2
1513	58	4100	2
1514	53	9600	2
1515	10	0000	1
1516	55	6100	2
1517	23	6100	2
1518	8	6100	2
1519	74	6100	2
1520	69	4100	2
1521	45	6100	2
1522	66	6100	2
1523	67	4100	2
1524	21	0000	1
1525	55	6100	2
1526	6	0009	1
1527	3	0000	1
1528	55	4100	2
