Seed	Iterations	Most_Frequent	Frequency
1317	100	1764	2
1318	53	3475	2
1319	90	7971	2
1320	90	9682	2
1321	72	7971	2
1322	67	9682	2
1323	51	2261	2
1324	69	7971	2
1325	163	7971	2
1326	56	7971	2
1327	59	2918	2
1328	102	7971	2
1329	70	7971	2
1330	82	9682	2
1331	92	2918	2
1332	31	7971	2
1333	63	1456	2
1334	113	7971	2
1335	51	1456	2
1336	48	9682	2
1337	85	7971	2
1338	86	7971	2
1339	80	9682	2
1340	91	7971	2
1341	95	9682	2
1342	125	7971	2
1343	153	7971	2
1344	163	7971	2
1345	98	7971	2
1346	86	1764	2
1347	106	9682	2
1348	76	1764	2
1349	149	7971	2
1350	123	9682	2
1351	54	1385	2
1352	69	9682	2
1353	60	1385	2
1354	78	7971	2
1355	69	7971	2
1356	62	7971	2
1357	110	7971	2
1358	121	9682	2
1359	63	2207	2
1360	73	1385	2
1361	45	9682	2
1362	120	1764	2
1363	47	1385	2
1364	83	7971	2
1365	48	9682	2
1366	100	1764	2
1367	105	7971	2
1368	110	7971	2
1369	18	2918	2
1370	76	9682	2
1371	113	7971	2
1372	51	1456	2
1373	69	1385	2
1374	46	2918	2
1375	34	1456	2
1376	80	1764	2
1377	78	7971	2
1378	77	7971	2
1379	84	9682	2
1380	44	9682	2
1381	103	7971	2
1382	103	7971	2
1383	64	9682	2
1384	53	9682	2
1385	41	7090	2
1386	68	7971	2
1387	124	9682	2
1388	62	9332	2
1389	82	9682	2
1390	59	1764	2
1391	73	7971	2
1392	93	7971	2
1393	59	7971	2
1394	45	9332	2
1395	79	9682	2
1396	88	1764	2
1397	59	1456	2
1398	100	9682	2
1399	146	7971	2
1400	95	7971	2
1401	35	9682	2
1402	72	7971	2
1403	52	7971	2
1404	87	9682	2
1405	95	1764	2
1406	96	7971	2
1407	28	3478	2
1408	129	7971	2
1409	114	7971	2
1410	102	1764	2
1411	81	1764	2
1412	139	7971	2
1413	59	7971	2
1414	45	3544	2
1415	52	9682	2
1416	83	7971	2
1417	89	1764	2
1418	104	9682	2
1419	65	9682	2
1420	110	7971	2
1421	133	9682	2
1422	78	1764	2
1423	86	7971	2
1424	88	9682	2
1425	125	9682	2
1426	119	7971	2
1427	102	7971	2
1428	130	7971	2
1429	65	9682	2
1430	90	7971	2
1431	62	9682	2
1432	56	1764	2
1433	56	7971	2
1434	85	7971	2
1435	31	1456	2
1436	118	9682	2
1437	55	9682	2
1438	122	7971	2
1439	100	7971	2
1440	82	9682	2
1441	57	2207	2
1442	67	7971	2
1443	67	1385	2
1444	55	9332	2
1445	77	1764	2
1446	74	1385	2
1447	52	1456	2
1448	147	7971	2
1449	47	2207	2
1450	103	1764	2
1451	79	1764	2
1452	86	7971	2
1453	86	7971	2
1454	54	9682	2
1455	55	9682	2
1456	23	7967	2
1457	66	7971	2
1458	86	7971	2
1459	53	9682	2
1460	68	1456	2
1461	133	7971	2
1462	150	7971	2
1463	118	7971	2
1464	60	9332	2
1465	30	8078	2
1466	95	9682	2
1467	90	9682	2
1468	93	7971	2
1469	64	2207	2
1470	141	7971	2
1471	54	9682	2
1472	89	1764	2
1473	106	7971	2
1474	134	9682	2
1475	57	7971	2
1476	78	1764	2
1477	87	7971	2
1478	142	7971	2
1479	108	7971	2
1480	93	7971	2
1481	93	7971	2
1482	44	2261	2
1483	44	1456	2
1484	23	8312	2
1485	45	3540	2
1486	95	1764	2
1487	57	1764	2
1488	71	7971	2
1489	71	1385	2
1490	60	9682	2
1491	21	6008	2
1492	115	9682	2
1493	100	7971	2
1494	104	7971	2
1495	92	7971	2
1496	65	7971	2
1497	150	7971	2
1498	121	7971	2
1499	141	7971	2
1500	162	7971	2
1501	79	7971	2
1502	19	2170	2
1503	102	7971	2
1504	47	2610	2
1505	73	2918	2
1506	116	7971	2
1507	92	7971	2
1508	85	7971	2
1509	91	9682	2
1510	43	8633	2
1511	100	7971	2
1512	100	1764	2
1513	105	7971	2
1514	109	7971	2
1515	31	7296	2
1516	133	7971	2
1517	50	2207	2
1518	61	7971	2
1519	44	7900	2
1520	55	1385	2
1521	52	9682	2
1522	49	7971	2
1523	115	1764	2
1524	69	9682	2
1525	88	9682	2
1526	48	5551	2
1527	85	9682	2
1528	103	7971	2
1529	157	7971	2
1530	121	9682	2
1531	65	1764	2
1532	38	7971	2
1533	67	1456	2
1534	48	9682	2
1535	67	1385	2
1536	65	7971	2
1537	48	3544	2
1538	102	9682	2
1539	62	7971	2
1540	104	9682	2
1541	103	7971	2
1542	97	1764	2
1543	89	7971	2
1544	85	7971	2
1545	132	7971	2
1546	144	7971	2
1547	137	7971	2
1548	95	7971	2
1549	40	9682	2
1550	55	1764	2
1551	69	7971	2
1552	84	9682	2
1553	87	7971	2
1554	48	6531	2
1555	84	1764	2
1556	43	9201	2
1557	125	7971	2
1558	149	7971	2
1559	91	1764	2
1560	48	9201	2
1561	84	7971	2
1562	106	7971	2
1563	64	1385	2
1564	118	7971	2
1565	104	7971	2
1566	53	1385	2
1567	43	9682	2
1568	70	1385	2
1569	94	1764	2
1570	125	7971	2
1571	128	7971	2
1572	35	7971	2
1573	130	7971	2
1574	77	9682	2
1575	159	7971	2
1576	114	7971	2
1577	130	7971	2
1578	74	1764	2
1579	94	9682	2
1580	44	7971	2
1581	99	7971	2
1582	75	7971	2
1583	43	2918	2
1584	48	1456	2
1585	152	7971	2
1586	62	1456	2
1587	97	1764	2
1588	112	1764	2
1589	47	7971	2
1590	23	9620	2
1591	68	1456	2
1592	158	7971	2
1593	70	7971	2
1594	99	7971	2
1595	30	9682	2
1596	58	9682	2
1597	66	9682	2
1598	23	9719	2
1599	85	7971	2
1600	30	9932	2
1601	20	7971	2
1602	46	1764	2
1603	76	1456	2
1604	72	9682	2
1605	94	7971	2
1606	140	7971	2
1607	94	9682	2
1608	105	1764	2
1609	110	7971	2
1610	108	7971	2
1611	91	1764	2
1612	137	7971	2
1613	66	1764	2
1614	47	7971	2
1615	55	9332	2
1616	114	7971	2
1617	82	7971	2
1618	59	9682	2
1619	89	9682	2
1620	66	1385	2
1621	48	9682	2
1622	85	7971	2
1623	86	7971	2
1624	80	9682	2
1625	91	7971	2
1626	95	9682	2
1627	125	7971	2
1628	153	7971	2
1629	163	7971	2
1630	98	7971	2
1631	50	6531	2
1632	91	1764	2
1633	76	1764	2
1634	149	7971	2
1635	100	1764	2
1636	66	7971	2
1637	69	9682	2
1638	88	9682	2
1639	78	7971	2
1640	69	7971	2
1641	128	9682	2
1642	110	7971	2
1643	121	9682	2
1644	69	7971	2
1645	73	1385	2
1646	45	9682	2
1647	40	1456	2
1648	47	1385	2
1649	83	7971	2
1650	48	9682	2
1651	73	7971	2
1652	81	9682	2
1653	110	7971	2
1654	18	2918	2
1655	76	9682	2
1656	140	7971	2
1657	38	7971	2
1658	69	1385	2
1659	46	2918	2
1660	34	1456	2
1661	80	1764	2
1662	78	7971	2
1663	77	7971	2
1664	84	9682	2
1665	44	9682	2
1666	103	7971	2
1667	157	7971	2
1668	64	9682	2
1669	53	9682	2
1670	42	7490	2
1671	53	9344	2
1672	140	7971	2
1673	120	7971	2
1674	82	9682	2
1675	59	1764	2
1676	73	7971	2
1677	161	7971	2
1678	59	7971	2
1679	45	9332	2
1680	79	9682	2
1681	88	1764	2
1682	59	1456	2
1683	100	9682	2
1684	146	7971	2
1685	99	7971	2
1686	35	9682	2
1687	77	9682	2
1688	104	7971	2
1689	87	9682	2
1690	95	1764	2
1691	72	7971	2
1692	64	1385	2
1693	105	7971	2
1694	84	1764	2
1695	102	1764	2
1696	81	1764	2
1697	87	7971	2
1698	59	7971	2
1699	45	3544	2
1700	52	9682	2
1701	83	7971	2
1702	89	1764	2
1703	104	9682	2
1704	65	9682	2
1705	110	7971	2
1706	133	9682	2
1707	78	1764	2
1708	48	9267	2
1709	88	9682	2
1710	125	9682	2
1711	119	7971	2
1712	73	1385	2
1713	23	1138	2
1714	65	9682	2
1715	90	7971	2
1716	62	9682	2
1717	56	1764	2
1718	56	7971	2
1719	85	7971	2
1720	31	1456	2
1721	118	9682	2
1722	55	9682	2
1723	122	7971	2
1724	100	7971	2
1725	82	9682	2
1726	57	2207	2
1727	67	7971	2
1728	52	2261	2
1729	52	1456	2
1730	77	1764	2
1731	74	1385	2
1732	52	1456	2
1733	41	1385	2
1734	60	1456	2
1735	115	7971	2
1736	79	1764	2
1737	86	7971	2
1738	75	1385	2
1739	54	9682	2
1740	55	9682	2
1741	45	1456	2
1742	66	7971	2
1743	86	7971	2
1744	56	1385	2
1745	68	1456	2
1746	133	7971	2
1747	126	7971	2
1748	126	7971	2
1749	76	7971	2
1750	31	9682	2
1751	95	9682	2
1752	90	9682	2
1753	92	1764	2
1754	70	7971	2
1755	141	7971	2
1756	54	9682	2
1757	89	1764	2
1758	106	7971	2
1759	134	9682	2
1760	57	7971	2
1761	78	1764	2
1762	87	7971	2
1763	142	7971	2
1764	43	1767	2
1765	93	7971	2
1766	93	7971	2
1767	43	1804	2
1768	39	7971	2
1769	86	7971	2
1770	69	9682	2
1771	95	1764	2
1772	57	1764	2
1773	71	7971	2
1774	153	7971	2
1775	60	9682	2
1776	21	6008	2
1777	115	9682	2
1778	100	7971	2
1779	104	7971	2
1780	92	7971	2
1781	65	7971	2
1782	150	7971	2
1783	121	7971	2
1784	141	7971	2
1785	55	9682	2
1786	79	7971	2
1787	19	2170	2
1788	15	7971	2
1789	51	7971	2
1790	91	9682	2
1791	86	7971	2
1792	92	7971	2
1793	85	7971	2
1794	127	9682	2
1795	44	6531	2
1796	100	7971	2
1797	29	2918	2
1798	105	7971	2
1799	109	7971	2
1800	30	2212	2
1801	133	7971	2
